Loyalty#,Customer Name,Province or State,City,Latitude,Longitude,Gender,Education,Location Code,Marital Status,LoyaltyStatus,EnrollmentDateOpening,EnrollmentType,Status,MembershipMonths,CLV_log,Income_log,NumFlights_Total,NumFlightsWithCompanions_Total,PointsAccumulated_Total,PointsRedeemed_Total,CompainFlights%,behavior_cluster,value_cluster,final_cluster
286114,Vikki Rengers,Ontario,Toronto,0.03767991951405314,0.676108482215798,female,College,Rural,Single,Star,2019-11-29,Standard,Active,0.3125,0.23362330243982532,0.0,0.41520467836257313,0.51,0.5359851362292336,0.43358706614950004,0.5492307692307693,0,2,0
205785,Johnathan Cannizzaro,Ontario,Toronto,0.03767991951405314,0.676108482215798,male,Master,Rural,Married,Star,2019-08-25,Standard,Active,0.35000000000000003,0.2337442955136635,0.8898879924327825,0.5614035087719298,0.65,0.5497778213376326,0.4872247116026314,0.5184615384615385,0,1,1
735304,Lang Privatsky,Alberta,Edmonton,0.5953601051495396,0.26189936585988205,female,Master,Urban,Married,Star,2019-12-06,Standard,Active,0.30000000000000004,0.2337442955136635,0.8898879924327825,0.36549707602339176,0.29,0.5471029154929141,0.32836154166520315,0.35384615384615387,1,1,2
438936,Bernie Schlagel,Quebec,Montreal,0.14189944398662568,0.7467379694288839,male,Bachelor,Rural,Married,Star,2016-10-30,Standard,Active,0.7625000000000001,0.23417713562208853,0.9858808047871488,0.7719298245614035,0.51,0.6166167678543997,0.10110842938215976,0.2953846153846154,0,0,1
243713,Doloris Buben,New Brunswick,Moncton,0.17494631338369793,0.8534730810994458,female,College,Rural,Married,Star,2021-02-09,2021 Promotion,Active,0.125,0.23456806004121855,0.0,0.587719298245614,0.49,0.5416122675534903,0.0,0.3738461538461539,0,2,0
354730,Herbert Cantabrana,New Brunswick,Fredericton,0.1679420761892132,0.830825686433379,female,College,Urban,Married,Star,2017-10-23,Standard,Cancelled,0.47500000000000003,0.23474184210029003,0.0,0.3742690058479532,0.48,0.41499823217508736,0.0,0.5723076923076924,1,2,0
413741,Mitchell Hinchliff,Ontario,Toronto,0.03767991951405314,0.676108482215798,female,College,Urban,Married,Star,2018-07-30,Standard,Active,0.5125000000000001,0.23474184210029003,0.0,0.5380116959064327,0.67,0.4061224592957962,0.6519712380388478,0.556923076923077,0,2,0
552965,Lia Broome,Quebec,Montreal,0.14189944398662568,0.7467379694288839,male,College,Rural,Married,Star,2021-11-18,Standard,Active,0.0125,0.23474184210029003,0.0,0.029239766081871343,0.06,0.02884124202126838,0.0,0.8384615384615385,1,2,0
642313,Michel Theuret,Alberta,Edmonton,0.5953601051495396,0.26189936585988205,male,College,Suburban,Married,Star,2019-03-22,Standard,Active,0.41250000000000003,0.23474184210029003,0.0,0.48245614035087714,0.58,0.5484364367951342,0.5796548765373248,0.536923076923077,0,2,0
263080,Tracy Hergenreter,Alberta,Edmonton,0.5953601051495396,0.26189936585988205,male,College,Urban,Single,Star,2017-05-21,Standard,Active,0.6875,0.2348295417448325,0.0,0.39473684210526316,0.35000000000000003,0.3105687846772406,0.06588355721031056,0.3953846153846154,1,2,0
109767,Ami Grosbier,Ontario,Toronto,0.03767991951405314,0.676108482215798,female,Bachelor,Suburban,Single,Star,2019-05-21,Standard,Active,0.3875,0.23484218879600283,0.9785555162491343,0.611111111111111,0.6,0.6750507530035471,0.5756356283023318,0.44000000000000006,0,0,1
217754,Mitzi Roaoo,Quebec,Montreal,0.14189944398662568,0.7467379694288839,female,Bachelor,Urban,Single,Star,2018-06-20,Standard,Active,0.525,0.23489867300096945,0.9967733075286548,0.4766081871345029,0.21,0.5053503733494566,0.0,0.19692307692307695,1,0,1
157005,Tanika Quire,British Columbia,Vancouver,0.3550807543234584,0.14495363380632398,male,Bachelor,Rural,Married,Star,2019-10-31,Standard,Active,0.3125,0.2351977926710216,0.9919982862471973,0.7251461988304093,0.77,0.737427451077306,0.1820704397087676,0.4753846153846154,0,0,1
557752,Sherilyn Fujikawa,Ontario,Toronto,0.03767991951405314,0.676108482215798,female,Bachelor,Suburban,Married,Star,2020-10-09,Standard,Active,0.17500000000000002,0.2351977926710216,0.9919982862471973,0.27192982456140347,0.31,0.3134545938594271,0.2810463091659935,0.5076923076923077,1,1,2
608758,Rhona Interiano,Ontario,Ottawa,0.13738000291380414,0.7208717348149895,male,Bachelor,Rural,Married,Star,2016-07-15,Standard,Active,0.8125,0.2352053724398422,0.9278699602511031,0.5146198830409356,0.55,0.5039508569948998,0.0,0.4784615384615385,0,0,1
599341,Shaunna Books,Quebec,Tremblant,0.1766740729614762,0.7342424903874907,female,Bachelor,Rural,Married,Star,2018-11-22,Standard,Active,0.4625,0.23525421563477789,0.8994276507382114,0.8391812865497076,0.59,0.9957501994595145,0.551974248711683,0.3153846153846154,0,0,1
333502,Shawnda Valladares,British Columbia,Vancouver,0.3550807543234584,0.14495363380632398,male,College,Urban,Married,Star,2017-03-04,Standard,Active,0.7125,0.23525758386271,0.0,0.5350877192982456,0.38,0.4730347024451588,0.08043514258044769,0.31846153846153846,0,2,0
403361,Inell Zeno,British Columbia,Vancouver,0.3550807543234584,0.14495363380632398,male,Bachelor,Rural,Single,Star,2020-10-24,Standard,Active,0.17500000000000002,0.235547963366312,0.9438180028165118,0.2222222222222222,0.18,0.2572812902903304,0.0,0.36,1,1,2
806030,Rasheeda Simenson,Alberta,Calgary,0.45464428134357915,0.2548567379230384,female,Bachelor,Urban,Married,Star,2021-05-03,Standard,Active,0.08750000000000001,0.23625725847969736,0.9557450244535691,0.14327485380116958,0.06,0.17685269876235407,0.11673883918491051,0.18461538461538463,1,1,2
119200,Bari Seraille,British Columbia,Vancouver,0.3550807543234584,0.14495363380632398,female,Bachelor,Rural,Divorced,Star,2020-05-08,Standard,Active,0.23750000000000002,0.23628496042673008,0.942937688659517,0.41520467836257313,0.39,0.38093369238386204,0.20362183942074658,0.42000000000000004,0,1,1
175967,Jolyn Podvin,British Columbia,Whistler,0.40208005473982533,0.14693774291158257,male,Bachelor,Suburban,Married,Star,2021-02-15,2021 Promotion,Active,0.125,0.23652578474887198,0.9559789624375985,0.5380116959064327,0.49,0.39748763856503727,0.12889693965106305,0.4076923076923077,0,1,1
238119,Aundrea Difranco,Quebec,Montreal,0.14189944398662568,0.7467379694288839,male,Bachelor,Rural,Married,Star,2016-05-19,Standard,Active,0.8375,0.23652578474887198,0.9559789624375985,0.6900584795321637,0.52,0.5533477324240431,0.1269751268245932,0.33692307692307694,0,0,1
730388,Gaynelle Garnette,Ontario,Thunder Bay,0.30423374392713143,0.5563127033672364,male,College,Rural,Single,Star,2015-05-02,Standard,Active,0.9875,0.23655598019239177,0.0,0.6695906432748538,0.62,0.7331850925320841,0.0,0.4153846153846154,0,2,0
127400,Cassandra Easlick,British Columbia,Whistler,0.40208005473982533,0.14693774291158257,female,College,Rural,Single,Star,2017-06-26,Standard,Active,0.675,0.2372003249627168,0.0,0.39766081871345027,0.3,0.5301487865475685,0.20478596625035753,0.33692307692307694,1,2,0
324557,Bethanie Kolander,Quebec,Montreal,0.14189944398662568,0.7467379694288839,female,College,Urban,Single,Star,2016-02-24,Standard,Active,0.875,0.2372003249627168,0.0,0.45906432748538006,0.36,0.5091380681085789,0.25588711983983226,0.3507692307692308,0,2,0
742002,Carolyne Purdue,Ontario,Toronto,0.03767991951405314,0.676108482215798,female,College,Urban,Single,Star,2019-05-15,Standard,Active,0.3875,0.23729071676353497,0.0,0.39473684210526316,0.35000000000000003,0.36824593294958846,0.10996482530570875,0.3953846153846154,1,2,0
536567,Clint Maravilla,Alberta,Peace River,0.7470150421757369,0.2157704686211166,male,Bachelor,Suburban,Married,Star,2019-05-12,Standard,Active,0.3875,0.23758933461863174,0.964810296056635,0.7397660818713451,0.49,0.5538377807913958,0.24526948030769077,0.29692307692307696,0,0,1
704835,Elvina Kurtich,British Columbia,Whistler,0.40208005473982533,0.14693774291158257,male,Bachelor,Urban,Married,Star,2019-09-17,Standard,Active,0.3375,0.23758933461863174,0.964810296056635,0.5321637426900585,0.52,0.4961311453680038,0.4663632577487193,0.4369230769230769,0,1,1
733338,Raphael Muskrat,Ontario,Thunder Bay,0.30423374392713143,0.5563127033672364,female,Bachelor,Rural,Married,Star,2019-06-03,Standard,Cancelled,0.1,0.23758933461863174,0.964810296056635,0.05263157894736842,0.07,0.025359511557980302,0.0,0.5661538461538461,1,1,2
758635,Stephany Loft,Quebec,Montreal,0.14189944398662568,0.7467379694288839,male,Bachelor,Suburban,Married,Star,2021-06-20,Standard,Active,0.07500000000000001,0.23758933461863174,0.964810296056635,0.08771929824561403,0.07,0.047825350693495666,0.0,0.34769230769230774,1,1,2
823048,Echo Wendy,British Columbia,Vancouver,0.3550807543234584,0.14495363380632398,male,Bachelor,Urban,Married,Star,2021-05-09,Standard,Active,0.08750000000000001,0.23758933461863174,0.964810296056635,0.15789473684210525,0.08,0.18390153201195325,0.0,0.2230769230769231,1,1,2
612905,Frankie Lapitan,Ontario,Toronto,0.03767991951405314,0.676108482215798,female,College,Rural,Married,Star,2018-02-28,Standard,Active,0.5750000000000001,0.23768463430142228,0.0,0.5292397660818714,0.68,0.4285034877683085,0.22280484316903426,0.5753846153846154,0,2,0
679908,Deon Biery,Quebec,Montreal,0.14189944398662568,0.7467379694288839,female,Bachelor,Rural,Married,Star,2018-08-15,Standard,Active,0.5,0.2377272594011064,0.9591159216885771,0.5672514619883041,0.41000000000000003,0.6376971321358553,0.2963003848643441,0.3230769230769231,0,0,1
704150,Raymond Hokkanen,Manitoba,Winnipeg,0.38960933373567297,0.4604870464441104,male,Bachelor,Urban,Married,Star,2017-10-27,Standard,Active,0.625,0.2377272594011064,0.9591159216885771,0.5263157894736842,0.5,0.5099361869968404,0.26702660933007516,0.4246153846153847,0,0,1
869743,Sima Parton,Ontario,Sudbury,0.19943179691055546,0.6570440451576334,female,Bachelor,Suburban,Single,Star,2019-11-10,Standard,Cancelled,0.08750000000000001,0.23801128516285797,0.9503953358547885,0.2807017543859649,0.17,0.27616472140399273,0.0,0.2692307692307693,1,1,2
596179,Kathryne Kloeck,New Brunswick,Fredericton,0.1679420761892132,0.830825686433379,female,Bachelor,Suburban,Single,Star,2017-03-28,Standard,Active,0.7125,0.23879442143162377,0.8827676065667467,0.6666666666666666,0.42,0.39762945772005903,0.0,0.28153846153846157,0,0,1
370450,Cathryn Sundell,Ontario,Thunder Bay,0.30423374392713143,0.5563127033672364,female,High School or Below,Urban,Married,Star,2015-11-02,Standard,Active,0.9125000000000001,0.23881857798807982,0.8641299994388403,0.587719298245614,0.74,0.6869033239882467,0.5254075698350653,0.5630769230769231,0,0,1
501030,Ciera Kalfa,British Columbia,Vancouver,0.3550807543234584,0.14495363380632398,male,Bachelor,Urban,Married,Star,2020-03-25,Standard,Active,0.2625,0.23886938424500226,0.9851087633074337,0.38888888888888884,0.25,0.36888945491737557,0.0,0.2876923076923077,1,1,2
878633,Victor Toplin,Ontario,Trenton,0.06293343400842488,0.6980514440702621,female,Doctor,Rural,Married,Star,2016-12-02,Standard,Active,0.75,0.23904256606769403,0.8568814944980636,0.6578947368421052,0.52,0.6807487939053147,0.0,0.35384615384615387,0,0,1
285938,Glen Randall,Quebec,Montreal,0.14189944398662568,0.7467379694288839,female,Bachelor,Suburban,Married,Star,2017-09-03,Standard,Active,0.6375000000000001,0.23922730346811072,0.9556770354756895,0.5555555555555556,0.72,0.5488727062155825,0.12592139133227293,0.5800000000000001,0,0,1
588237,Teresia Mckendry,Quebec,Tremblant,0.1766740729614762,0.7342424903874907,male,Bachelor,Rural,Married,Star,2016-11-25,Standard,Active,0.7625000000000001,0.23922730346811072,0.9556770354756895,0.5058479532163743,0.31,0.4830875743111309,0.5876532307028416,0.27384615384615385,0,0,1
645280,Natalya Boardwine,British Columbia,West Vancouver,0.3576683905922917,0.1444745476011431,male,Bachelor,Suburban,Married,Star,2015-12-15,Standard,Active,0.9,0.23922730346811072,0.9556770354756895,0.631578947368421,0.45,0.5072187354056154,0.21166535367879136,0.31846153846153846,0,0,1
864324,Cherri Flavell,Quebec,Quebec City,0.2158827247948043,0.7753893404254446,female,Bachelor,Rural,Married,Star,2021-06-03,Standard,Active,0.07500000000000001,0.23922730346811072,0.9556770354756895,0.6052631578947368,0.54,0.5620079682707021,0.346929866376304,0.4,0,1,1
124678,Eddie Ribsamen,Nova Scotia,Halifax,0.09381017332624264,0.8680823807735384,male,Doctor,Urban,Married,Star,2016-06-13,Standard,Active,0.8250000000000001,0.24050015604621455,0.852863531818939,0.716374269005848,0.52,0.5934572785943222,0.10668319191533988,0.32461538461538464,0,0,1
186015,Florrie Thach,British Columbia,Vancouver,0.3550807543234584,0.14495363380632398,male,Doctor,Rural,Married,Star,2018-09-05,Standard,Active,0.48750000000000004,0.24050015604621455,0.852863531818939,0.5409356725146198,0.51,0.4405289096241286,0.3138124651890954,0.42153846153846153,0,0,1
461108,Polly Mayville,Quebec,Montreal,0.14189944398662568,0.7467379694288839,male,Doctor,Urban,Married,Star,2021-10-15,Standard,Active,0.025,0.24050015604621455,0.852863531818939,0.014619883040935672,0.0,0.03301156766893961,0.0,0.0,1,1,2
589580,Elodia Kieffer,British Columbia,Whistler,0.40208005473982533,0.14693774291158257,male,Doctor,Suburban,Married,Star,2018-08-27,Standard,Active,0.5,0.24050015604621455,0.852863531818939,0.7134502923976608,0.47000000000000003,0.53059446377335,0.3758448700643783,0.2953846153846154,0,0,1
623688,Dwayne Cimaglia,Ontario,London,0.0,0.6534949939802728,female,Doctor,Rural,Married,Star,2019-05-07,Standard,Active,0.3875,0.24050015604621455,0.852863531818939,0.7339181286549707,0.7000000000000001,0.5068773865285283,0.4989487734017091,0.4276923076923077,0,1,1
751616,Rocco Niederhauser,Ontario,Trenton,0.06293343400842488,0.6980514440702621,female,Doctor,Suburban,Married,Star,2021-04-17,2021 Promotion,Active,0.1,0.24050015604621455,0.852863531818939,0.2514619883040936,0.27,0.33767856927219814,0.22704738297263805,0.47692307692307695,1,1,2
256147,Joleen Gessford,Ontario,Toronto,0.03767991951405314,0.676108482215798,female,College,Suburban,Married,Star,2015-09-04,Standard,Active,0.9375,0.2408033169587518,0.0,0.6608187134502924,0.8200000000000001,0.6831201225092836,0.12203260558680523,0.5553846153846155,0,2,0
140392,Hilary Shain,British Columbia,Vancouver,0.3550807543234584,0.14495363380632398,female,Bachelor,Rural,Married,Star,2016-07-22,Standard,Active,0.8125,0.24124926534027535,0.98960215585907,0.4766081871345029,0.59,0.382387830175353,0.3502416064950249,0.5538461538461539,0,0,1
541008,Jeanmarie Resch,Ontario,London,0.0,0.6534949939802728,male,Bachelor,Suburban,Divorced,Star,2021-04-04,2021 Promotion,Active,0.1,0.24125009213915183,0.9161924811762109,0.14912280701754385,0.24,0.12312991786003039,0.0,0.7107692307692308,1,1,2
230908,Carmelia Burkham,British Columbia,Vancouver,0.3550807543234584,0.14495363380632398,male,Doctor,Suburban,Divorced,Star,2015-05-27,Standard,Active,0.9875,0.2413120961117543,0.8741347881667226,0.7368421052631579,0.36,0.7422157431618595,0.3337305748879779,0.21846153846153846,0,0,1
972581,Quiana Ciolli,British Columbia,Vancouver,0.3550807543234584,0.14495363380632398,male,High School or Below,Rural,Married,Star,2019-02-13,Standard,Active,0.42500000000000004,0.24134350698159945,0.8329846739480627,0.42397660818713445,0.39,0.40557736824649454,0.3562378632251331,0.4107692307692308,0,1,1
157729,Tobi Kriss,British Columbia,Victoria,0.3069133950644849,0.14197941321035823,male,Bachelor,Rural,Married,Star,2021-03-18,2021 Promotion,Active,0.1125,0.24147573026607105,0.9720108866990186,0.16666666666666666,0.13,0.13360487723094872,0.0,0.3446153846153846,1,1,2
910875,Alaina Rumble,Quebec,Hull,0.1377858380998389,0.7206753033987967,female,Bachelor,Urban,Married,Star,2015-11-03,Standard,Active,0.9125000000000001,0.24147573026607105,0.9720108866990186,0.38596491228070173,0.25,0.3626345281058886,0.09744544409933215,0.28923076923076924,1,0,1
529098,Sherril Roofner,British Columbia,Vancouver,0.3550807543234584,0.14495363380632398,female,College,Urban,Divorced,Star,2020-10-23,Standard,Active,0.17500000000000002,0.24219623559245695,0.0,0.2807017543859649,0.29,0.2529986326386815,0.43024521930242715,0.46,0,2,0
567875,Lady Tlumacki,Quebec,Quebec City,0.2158827247948043,0.7753893404254446,female,Bachelor,Suburban,Married,Star,2020-05-15,Standard,Active,0.23750000000000002,0.2425966564417279,0.9968436068824607,0.19005847953216373,0.17,0.3157086759342442,0.0,0.39692307692307693,1,1,2
688524,Darius Dehnert,Manitoba,Winnipeg,0.38960933373567297,0.4604870464441104,female,Bachelor,Urban,Married,Star,2016-03-26,Standard,Active,0.8625,0.24265428994570692,0.9985563545593568,0.36549707602339176,0.35000000000000003,0.36702418199132625,0.9297158426622378,0.4276923076923077,0,0,1
269070,Virginia Swida,British Columbia,Vancouver,0.3550807543234584,0.14495363380632398,male,Master,Rural,Married,Star,2016-01-14,Standard,Active,0.8875000000000001,0.2430574409757682,0.8472249205638817,0.6228070175438597,0.59,0.7601138821856325,0.3990345775775123,0.4246153846153847,0,0,1
387705,Paulene Saluan,Quebec,Hull,0.1377858380998389,0.7206753033987967,female,Master,Suburban,Married,Star,2016-04-30,Standard,Active,0.8500000000000001,0.2430574409757682,0.8472249205638817,0.611111111111111,0.47000000000000003,0.5351263580588242,0.41845592625858674,0.3446153846153846,0,0,1
923293,Lauretta Craze,Saskatchewan,Regina,0.42062330601303666,0.3696425137673831,male,Bachelor,Suburban,Divorced,Star,2019-06-12,Standard,Active,0.375,0.2430763522131536,0.9750367628164314,0.652046783625731,0.58,0.6157039299070761,0.24088142465038564,0.3984615384615385,0,0,1
789157,Lenora Millhiser,British Columbia,Vancouver,0.3550807543234584,0.14495363380632398,female,College,Rural,Single,Star,2021-09-25,Standard,Active,0.037500000000000006,0.24388194354745218,0.0,0.03216374269005848,0.0,0.03416297070971079,0.0,0.0,1,2,0
654748,Lona Hyer,Ontario,Ottawa,0.13738000291380414,0.7208717348149895,female,Bachelor,Rural,Married,Star,2020-04-03,Standard,Cancelled,0.1,0.24399756933495098,0.9329636611671023,0.22807017543859648,0.16,0.21374000139853344,0.0,0.31230769230769234,1,1,2
984713,Remedios Swinea,Ontario,Sudbury,0.19943179691055546,0.6570440451576334,female,College,Suburban,Single,Star,2021-08-04,Standard,Active,0.05,0.24405577681246537,0.0,0.04093567251461988,0.09,0.03743464032556061,0.11420485621528319,0.9230769230769231,1,2,0
114835,Willard Powal,Ontario,Toronto,0.03767991951405314,0.676108482215798,female,Master,Suburban,Divorced,Star,2020-07-03,Standard,Active,0.21250000000000002,0.24438678895440313,0.8592718657812826,0.368421052631579,0.29,0.4911980854133241,0.0,0.3507692307692308,1,1,2
328936,Yvonne Tear,Ontario,Thunder Bay,0.30423374392713143,0.5563127033672364,female,Bachelor,Suburban,Married,Star,2018-03-21,Standard,Active,0.5625,0.24473055645412822,0.8924576050040633,0.6608187134502924,0.75,0.505957527830956,0.34378873105157787,0.5076923076923077,0,0,1
845864,Josue Disalvi,British Columbia,Vancouver,0.3550807543234584,0.14495363380632398,female,Doctor,Urban,Married,Star,2016-04-24,Standard,Active,0.8500000000000001,0.24539496943604133,0.8375961675909042,0.6169590643274854,0.61,0.6794124643029953,0.5233101344265422,0.4430769230769231,0,0,1
645265,Stella Nageotte,Quebec,Quebec City,0.2158827247948043,0.7753893404254446,male,Bachelor,Suburban,Married,Star,2016-03-05,Standard,Active,0.8625,0.24540313341853226,0.95055819695921,0.48245614035087714,0.35000000000000003,0.7188526521445724,0.07393710704447266,0.32461538461538464,1,0,1
223587,Nelia Gallipo,British Columbia,Vancouver,0.3550807543234584,0.14495363380632398,female,Bachelor,Rural,Married,Star,2020-08-20,Standard,Active,0.2,0.24540394980559777,0.9939779050209434,0.3713450292397661,0.23,0.39106744329269816,0.21622652302412051,0.27692307692307694,1,1,2
158560,Hulda Kvam,British Columbia,Vancouver,0.3550807543234584,0.14495363380632398,male,Bachelor,Suburban,Married,Star,2018-12-11,Standard,Active,0.45,0.24544395028113097,0.9145537769672905,0.4473684210526315,0.48,0.4577807183800152,0.5944347712641314,0.48000000000000004,0,0,1
417584,Lucina Moncion,British Columbia,Vancouver,0.3550807543234584,0.14495363380632398,male,Bachelor,Suburban,Married,Star,2017-05-17,Standard,Active,0.6875,0.24544395028113097,0.9145537769672905,0.5146198830409356,0.31,0.4657638730726987,0.23958432643721997,0.2692307692307693,0,0,1
957912,Lacy Georgopoulos,Quebec,Montreal,0.14189944398662568,0.7467379694288839,female,Bachelor,Urban,Married,Star,2021-02-17,2021 Promotion,Active,0.125,0.24551659172308993,0.9806941114969435,0.5497076023391813,0.49,0.5267910425336708,0.0,0.3984615384615385,0,1,1
425854,Tobi Sather,Ontario,Toronto,0.03767991951405314,0.676108482215798,female,High School or Below,Rural,Married,Star,2019-11-22,Standard,Active,0.3125,0.24558105772094585,0.8006615301132253,0.5672514619883041,0.37,0.49975399291128886,0.24954714462770525,0.2923076923076923,0,1,1
695855,Mac Dering,Quebec,Montreal,0.14189944398662568,0.7467379694288839,female,College,Suburban,Divorced,Star,2016-04-07,Standard,Active,0.8500000000000001,0.2458461326484489,0.0,0.4444444444444444,0.22,0.5245029800276504,0.16460101058251503,0.22153846153846155,1,2,0
699511,Tiffany Baradi,British Columbia,West Vancouver,0.3576683905922917,0.1444745476011431,female,College,Rural,Divorced,Star,2017-07-06,Standard,Active,0.6625000000000001,0.2458461326484489,0.0,0.4415204678362573,0.42,0.2626671886360451,0.0,0.4246153846153847,1,2,0
377322,Lura Blyden,Alberta,Edmonton,0.5953601051495396,0.26189936585988205,female,Bachelor,Urban,Married,Star,2019-05-08,Standard,Active,0.3875,0.24620710526535472,0.9243203310946448,0.7397660818713451,0.93,0.610139283260032,0.6896723886176496,0.5630769230769231,0,0,1
511053,Meghan Douyon,Ontario,Toronto,0.03767991951405314,0.676108482215798,male,Bachelor,Suburban,Married,Star,2018-03-13,Standard,Active,0.5625,0.24620710526535472,0.9243203310946448,0.4035087719298246,0.12,0.3751203707630123,0.22123176661264182,0.13230769230769232,1,0,1
890753,Faustina Sempek,Quebec,Montreal,0.14189944398662568,0.7467379694288839,male,College,Urban,Married,Star,2020-09-02,Standard,Active,0.1875,0.24631214449674,0.0,0.26608187134502925,0.13,0.13149317597117338,0.29006578320144916,0.21692307692307694,1,2,0
796670,Maryetta Castera,Manitoba,Winnipeg,0.38960933373567297,0.4604870464441104,female,Bachelor,Suburban,Married,Star,2017-02-12,Standard,Active,0.7250000000000001,0.2471723612570771,0.8659337894195096,0.6842105263157895,0.73,0.6225900221659126,0.23423034657862124,0.4784615384615385,0,0,1
556136,Grisel Kapps,Quebec,Montreal,0.14189944398662568,0.7467379694288839,female,College,Rural,Married,Star,2020-01-25,Standard,Active,0.28750000000000003,0.2471796691157926,0.0,0.5467836257309941,0.5,0.728359590471213,0.20168748212413004,0.4092307692307693,0,2,0
513081,Louis Beaucage,Alberta,Edmonton,0.5953601051495396,0.26189936585988205,female,Bachelor,Rural,Married,Star,2018-11-05,Standard,Active,0.4625,0.24732011074232574,0.9915953590482692,0.39766081871345027,0.61,0.5639643705349783,0.6208935676974877,0.6846153846153846,0,0,1
930718,Willena Ledee,Quebec,Montreal,0.14189944398662568,0.7467379694288839,female,High School or Below,Suburban,Married,Star,2018-07-14,Standard,Active,0.5125000000000001,0.24732416885429753,0.8668520124105231,0.7192982456140351,0.47000000000000003,0.6966805611994586,0.42334826961578803,0.2923076923076923,0,0,1
235872,Ima Ghiloni,Ontario,Toronto,0.03767991951405314,0.676108482215798,female,Doctor,Urban,Single,Star,2016-03-20,Standard,Active,0.8625,0.24808539294933318,0.8249854451641528,0.6228070175438597,0.4,0.38668902260765825,0.4818857851082086,0.2876923076923077,0,0,1
